Waypoint,Cthcm,Latitude,Longitude,Distance,Aspect,Slope,Prof Curv,Plan Curv,Vegetation,pH,Moisture,Sample depth,BD,LOI,TC 
wp24e,85,66.97988889,-51.06258333,42,NE,3,+,0,mixed,6,8,0-5,0.45,8.12,81212.98472
wp25e,85,66.97983333,-51.06505556,42,E,20,0,0,mixed,6.8,5.5,0-5,0.31,5.26,52609.2276
wp26e,85,66.98119444,-51.06938889,42,S,0,0,0,mixed,6.2,8,0-5,0.23,7.82,78159.14057
wp27e,85,66.98180556,-51.06872222,42,S,5,-,0,steppe,6.3,1,0-5,0.73,3.51,35119.06424
wp28e,85,66.98227778,-51.06719444,42,SW,5,+,-,shrub,6.8,3,0-5,0.59,3.68,36755.77853
wp29e,85,66.983,-51.06475,42,E,3,+,-,shrub,6.6,5.5,0-5,0.78,3.57,35678.02897
wp30e,85,66.98327778,-51.06177778,42,E,0,0,0,shrub,6.4,7.5,0-5,0.83,3.42,34176.42524
wp31e,85,66.98405556,-51.06408333,42,E,0,0,0,mixed,6.5,8,0-5,0.34,8.74,87392.83973
wp32e,85,66.98513889,-51.06255556,42,SW,45,0,0,bare,7,1,0-5,0.85,4.55,45530.37545
wp33e,85,66.98516667,-51.061,42,SE,20,-,+,steppe,7,1,0-5,0.48,5.69,56879.77025
wp34e,85,66.98497222,-51.05911111,42,S,3,+,0,shrub,7,3,0-5,0.41,5.83,58340.61929
wp35e,85,66.98486111,-51.05480556,42,W,5,-,0,shrub,6.8,6,0-5,0.74,4.41,44081.25285
,,,,,,,,,,,,,,,
